batsman,id,inning,leftfast_bowlers,leftfastmedium_bowlers,leftmediumfast_bowlers,leftmedium_bowlers,leftorthodox_bowlers,leftlegbreak_bowlers,leftmystery_bowlers,rightfast_bowlers,rightfastmedium_bowlers,rightmediumfast_bowlers,rightmedium_bowlers,rightorthodox_bowlers,rightlegbreak_bowlers,rightmystery_bowlers,batsman_hand,leftfast_cumruns,leftfast_cumballs,leftfast_cumdismissals,leftfastmedium_cumruns,leftfastmedium_cumballs,leftfastmedium_cumdismissals,leftlegbreak_cumruns,leftlegbreak_cumballs,leftlegbreak_cumdismissals,leftmedium_cumruns,leftmedium_cumballs,leftmedium_cumdismissals,leftmediumfast_cumruns,leftmediumfast_cumballs,leftmediumfast_cumdismissals,leftmystery_cumruns,leftmystery_cumballs,leftmystery_cumdismissals,leftorthodox_cumruns,leftorthodox_cumballs,leftorthodox_cumdismissals,rightfast_cumruns,rightfast_cumballs,rightfast_cumdismissals,rightfastmedium_cumruns,rightfastmedium_cumballs,rightfastmedium_cumdismissals,rightlegbreak_cumruns,rightlegbreak_cumballs,rightlegbreak_cumdismissals,rightmedium_cumruns,rightmedium_cumballs,rightmedium_cumdismissals,rightmediumfast_cumruns,rightmediumfast_cumballs,rightmediumfast_cumdismissals,rightmystery_cumruns,rightmystery_cumballs,rightmystery_cumdismissals,rightorthodox_cumruns,rightorthodox_cumballs,rightorthodox_cumdismissals,overall_runs,overall_balls,overall_dismissed,match_runs
AM Rahane,1136598,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,208,8,0,0,0,0,0,0,0,0,0,0,0,0,346,302,11,90,78,6,0,0,0,1758,1441,50,5
AM Rahane,1136600,1,0,0,0,0,1,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216,210,8,0,0,0,289,217,7,0,0,0,0,0,0,352,307,11,0,0,0,0,0,0,1767,1451,51,9
AM Rahane,1136609,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,16,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294,222,7,0,0,0,0,0,0,0,0,0,94,83,6,0,0,0,1778,1463,52,11
AM Rahane,1136613,1,0,0,0,0,0,0,0,0,3,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318,244,8,233,172,6,0,0,0,356,312,11,0,0,0,88,72,3,1811,1495,53,33
AM Rahane,1175363,1,0,0,0,0,1,0,0,0,0,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,219,9,0,0,0,0,0,0,0,0,0,0,0,0,396,341,11,104,94,6,0,0,0,1881,1544,54,70
AM Rahane,1178396,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,119,3,0,0,0,238,178,6,0,0,0,0,0,0,0,0,0,0,0,0,1886,1551,55,5
AM Rahane,1178400,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245,226,9,0,0,0,0,0,0,0,0,0,0,0,0,401,346,12,0,0,0,0,0,0,1900,1563,56,14
AM Rahane,1178415,1,0,0,0,0,1,0,0,2,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276,240,9,188,145,3,334,260,8,249,187,6,0,0,0,0,0,0,0,0,0,0,0,0,2005,1628,56,105
AM Rahane,1178428,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,86,71,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334,262,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007,1632,57,2
AM Rahane,1216529,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,93,79,2,0,0,0,0,0,0,0,0,0,0,0,0,276,241,10,0,0,0,342,270,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,1649,58,15
AM Rahane,1216543,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,116,90,3,0,0,0,0,0,0,189,154,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,1660,59,2
AM Rahane,1237181,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,94,81,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,156,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026,1664,60,2
