id,inning,leftfast_bowlers,leftfastmedium_bowlers,leftmediumfast_bowlers,leftmedium_bowlers,leftorthodox_bowlers,leftlegbreak_bowlers,leftmystery_bowlers,rightfast_bowlers,rightfastmedium_bowlers,rightmediumfast_bowlers,rightmedium_bowlers,rightorthodox_bowlers,rightlegbreak_bowlers,rightmystery_bowlers,batsman_hand,leftfast_cumruns,leftfast_cumballs,leftfast_cumdismissals,leftfastmedium_cumruns,leftfastmedium_cumballs,leftfastmedium_cumdismissals,leftlegbreak_cumruns,leftlegbreak_cumballs,leftlegbreak_cumdismissals,leftmedium_cumruns,leftmedium_cumballs,leftmedium_cumdismissals,leftmediumfast_cumruns,leftmediumfast_cumballs,leftmediumfast_cumdismissals,leftmystery_cumruns,leftmystery_cumballs,leftmystery_cumdismissals,leftorthodox_cumruns,leftorthodox_cumballs,leftorthodox_cumdismissals,rightfast_cumruns,rightfast_cumballs,rightfast_cumdismissals,rightfastmedium_cumruns,rightfastmedium_cumballs,rightfastmedium_cumdismissals,rightlegbreak_cumruns,rightlegbreak_cumballs,rightlegbreak_cumdismissals,rightmedium_cumruns,rightmedium_cumballs,rightmedium_cumdismissals,rightmediumfast_cumruns,rightmediumfast_cumballs,rightmediumfast_cumdismissals,rightmystery_cumruns,rightmystery_cumballs,rightmystery_cumdismissals,rightorthodox_cumruns,rightorthodox_cumballs,rightorthodox_cumdismissals,overall_runs,overall_balls,overall_dismissed
1304104,2,0,1,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,172,119,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312,248,10,0,0,0,346,215,4,0,0,0,0,0,0,163,138,3,0,0,0,2839,2052,65
1304114,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,56,36,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,17,0,0,0,0,2,3,0,0,0,0,0,0,0,1,3,1,0,0,0,196,139,5
1312199,1,0,2,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,128,111,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,153,7,0,0,0,274,218,5,0,0,0,0,0,0,92,90,2,0,0,0,1777,1378,46
1304113,2,0,1,0,0,1,0,0,1,1,1,0,0,0,1,1,0,0,0,176,128,1,0,0,0,0,0,0,0,0,0,0,0,0,233,163,3,187,156,8,238,163,5,0,0,0,0,0,0,305,258,10,64,78,5,0,0,0,1626,1298,46
1312199,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,87,62,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229,125,10,0,0,0,0,0,0,139,106,5,0,0,0,1295,892,51
1304113,2,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,26,31,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,76,5,0,0,0,0,0,0,0,0,0,122,89,5,115,74,1,0,0,0,1024,678,36
1178424,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,3,1,0,0,0,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,38,29,2
1178421,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,11,1,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,28,29,3
1304113,1,0,0,0,0,2,0,0,0,0,3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,36,1,0,0,0,0,0,0,70,62,1,0,0,0,242,155,11,0,0,0,24,30,0,1199,843,36
1312200,2,0,2,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,74,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,77,5,0,0,0,151,115,6,0,0,0,0,0,0,74,43,0,0,0,0,764,557,27
1304097,1,0,0,1,0,0,0,0,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,53,45,1,0,0,0,0,0,0,127,95,6,130,117,6,139,76,8,0,0,0,0,0,0,106,97,4,0,0,0,1011,785,35
1304115,2,0,1,0,0,1,1,0,1,2,0,0,0,0,0,0,0,0,0,40,47,3,9,10,2,0,0,0,0,0,0,0,0,0,67,43,0,185,120,4,38,47,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,859,659,27
1312200,1,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,122,83,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,134,5,313,195,8,0,0,0,0,0,0,229,175,7,116,114,4,0,0,0,1395,1031,34
1312199,2,0,0,0,0,1,0,0,0,1,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,108,3,0,0,0,298,198,8,159,107,4,0,0,0,238,160,4,0,0,0,48,31,0,1436,922,34
