id,inning,batsman,batsman_hand,leftfast_bowlers,leftfast_cumruns,leftfast_cumballs,leftfast_cumdismissals,leftfastmedium_bowlers,leftfastmedium_cumruns,leftfastmedium_cumballs,leftfastmedium_cumdismissals,leftlegbreak_bowlers,leftlegbreak_cumruns,leftlegbreak_cumballs,leftlegbreak_cumdismissals,leftmedium_bowlers,leftmedium_cumruns,leftmedium_cumballs,leftmedium_cumdismissals,leftmediumfast_bowlers,leftmediumfast_cumruns,leftmediumfast_cumballs,leftmediumfast_cumdismissals,leftmystery_bowlers,leftmystery_cumruns,leftmystery_cumballs,leftmystery_cumdismissals,leftorthodox_bowlers,leftorthodox_cumruns,leftorthodox_cumballs,leftorthodox_cumdismissals,rightfast_bowlers,rightfast_cumruns,rightfast_cumballs,rightfast_cumdismissals,rightfastmedium_bowlers,rightfastmedium_cumruns,rightfastmedium_cumballs,rightfastmedium_cumdismissals,rightlegbreak_bowlers,rightlegbreak_cumruns,rightlegbreak_cumballs,rightlegbreak_cumdismissals,rightmedium_bowlers,rightmedium_cumruns,rightmedium_cumballs,rightmedium_cumdismissals,rightmediumfast_bowlers,rightmediumfast_cumruns,rightmediumfast_cumballs,rightmediumfast_cumdismissals,rightmystery_bowlers,rightmystery_cumruns,rightmystery_cumballs,rightmystery_cumdismissals,rightorthodox_bowlers,rightorthodox_cumruns,rightorthodox_cumballs,rightorthodox_cumdismissals,overall_runs,overall_balls,overall_dismissed
829783,1,KM Jadhav,right,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,32,35,2,1,13,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,9,1,367,291,13
829783,1,MA Agarwal,right,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,52,45,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360,316,20
829783,1,NM Coulter-Nile,right,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,5,1,0,0,0,0,0,0,0,0,9,12,1
829783,1,SS Iyer,right,0,0,0,0,1,36,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28,30,1,0,0,0,0,1,25,21,1,233,182,6
829783,1,SS Tiwary,left,0,0,0,0,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,37,32,1,0,0,0,0,0,0,0,0,0,0,0,0,1,78,63,1,0,0,0,0,0,0,0,0,558,434,17
829783,1,Yuvraj Singh,left,0,0,0,0,1,28,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,67,45,2,1,89,72,5,0,0,0,0,0,0,0,0,0,0,0,0,1,177,147,13,0,0,0,0,1,172,170,9,1070,800,39
829783,2,AT Rayudu,right,0,0,0,0,1,70,46,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,124,102,4,0,0,0,0,1,134,114,8,2,110,90,3,0,0,0,0,1,209,184,5,0,0,0,0,0,0,0,0,889,743,29
829783,2,HH Pandya,right,0,0,0,0,1,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,2
829783,2,Harbhajan Singh,right,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,61,45,5,0,0,0,0,0,0,0,0,1,88,53,5,0,0,0,0,0,0,0,0,315,237,23
829783,2,KA Pollard,right,0,0,0,0,1,45,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,77,47,4,2,157,96,2,0,0,0,0,1,115,84,6,0,0,0,0,0,0,0,0,622,447,25
829783,2,LMP Simmons,right,0,0,0,0,1,17,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,141,4
829783,2,PA Patel,left,0,0,0,0,1,69,63,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,144,144,4,0,0,0,0,0,0,0,0,1,135,102,9,0,0,0,0,0,0,0,0,777,757,31
829783,2,RG Sharma,right,0,0,0,0,1,40,36,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,184,205,5,0,0,0,0,1,184,127,10,2,151,129,3,0,0,0,0,1,269,214,12,0,0,0,0,0,0,0,0,1232,1058,46
829785,1,AB de Villiers,right,1,25,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,121,94,2,0,0,0,0,0,0,0,0,1,137,106,1,0,0,0,0,2,303,193,7,0,0,0,0,0,0,0,0,1272,837,27
829785,1,CH Gayle,left,1,39,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,161,60,3,0,0,0,0,0,0,0,0,1,132,78,4,0,0,0,0,2,423,271,8,0,0,0,0,1,188,139,3,1669,1054,35
829785,1,KD Karthik,right,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,298,212,10,0,0,0,0,0,0,0,0,1182,950,41
829785,1,SN Khan,right,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14,7,0,0,0,0,0,0,0,0,0,56,29,0
829785,1,V Kohli,right,1,18,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,144,132,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,317,276,5,0,0,0,0,1,75,77,1,1398,1173,43
829785,2,AR Patel,left,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,35,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,34,27,0,0,0,0,0,2,34,19,0,0,0,0,0,0,0,0,0,148,122,5
829785,2,Anureet Singh,right,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,27,3
829785,2,DA Miller,left,1,14,14,1,0,0,0,0,0,0,0,0,0,0,0,0,1,63,39,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,692,478,12
829785,2,GJ Bailey,right,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,42,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,160,7
829785,2,GJ Maxwell,right,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,44,29,1,0,0,0,0,0,0,0,0,293,194,13
829785,2,Karanveer Singh,right,1,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,7,0,0,0,0,0,0,0,0,0,12,17,1
829785,2,M Vijay,right,1,16,17,2,0,0,0,0,0,0,0,0,0,0,0,0,1,84,55,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,163,135,8,0,0,0,0,0,0,0,0,774,712,32
829785,2,M Vohra,right,1,3,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243,171,8
829785,2,MG Johnson,left,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,56,5
829785,2,Sandeep Sharma,right,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,3,1,0,0,0,0,1,4,10,0,0,0,0,0,0,0,0,0,9,15,1
829785,2,WP Saha,right,1,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,39,39,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,379,304,15
829787,1,DA Warner,left,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,176,124,8,1,202,126,6,0,0,0,0,0,0,0,0,1,189,150,6,0,0,0,0,1,126,132,2,1158,874,34
829787,1,EJG Morgan,left,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,21,2,0,0,0,0,0,0,0,0,1,38,23,0,1,31,20,3,1,49,32,2,0,0,0,0,0,0,0,0,0,0,0,0,1,35,33,0,271,222,14
829787,1,MC Henriques,right,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,39,31,4,1,27,44,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,281,239,11
829787,1,NV Ojha,right,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,48,50,4,0,0,0,0,0,0,0,0,1,70,80,3,1,70,71,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,667,569,29
829787,1,RS Bopara,right,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,43,36,1,0,0,0,0,0,0,0,0,1,36,38,1,1,50,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,281,263,10
829787,1,S Dhawan,left,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,95,88,8,0,0,0,0,0,0,0,0,1,156,137,6,1,270,204,6,1,93,56,0,0,0,0,0,1,354,284,11,0,0,0,0,1,183,164,3,1598,1299,48
829787,2,AM Rahane,right,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,242,221,9,0,0,0,0,0,0,0,0,954,870,28
829787,2,CH Morris,right,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,42,16,0,0,0,0,0,0,0,0,0,61,34,2
